Sentence,Label
SELECT COUNT(thyID)FROM since,0
SELECT AVG(Price)FROM weak,0
SELECT * FROM open WHERE farmer BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT paintID AS ID, spite AS flower FROM especially",0
"  SELECT neckID AS ID, loss AS hunter FROM hay",0
"  SELECT by AS write, doubt AS [donkey]  FROM game",0
"   SELECT chose, she+ ', ' + wise+ ' ' + organized+ ', ' + five AS step  FROM attack",0
SELECT eaten(s)FROM belong INNER JOIN,0
"   SELECT exactly,location,provide,mixture,treated   ((bicycle JOIN drink ON idea.favorite= present.cat)  INNER JOIN hopeON Orders.learn= nearest.bendID)",0
SELECT average(s) FROM hearing LEFT JOIN,0
"  SELECT certainly,tank,sugar FROM help LEFT JOIN Orders ON news.equatorID= night.industrial ORDER BY settlers.grain",0
SELECT own(s FROM share RIGHT JOIN,0
"  SELECT Orders.differrID, Employees.soil, Employees.single FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.exactlyID ORDER BY Orders.marriedID",0
SELECT fur(s) FROM brick FULL OUTER JOIN,0
" SELECT column_name(s) FROM voice,wise",0
SELECT minerals(s) FROM equipment UNION,0
SELECT came(s) FROM aboard SELECT team(s),0
SELECT barn(s) FROM fellow UNION ALL,0
SELECT right(s) FROM beneath SELECT car FROM hurried,0
SELECT must FROM author UNION SELECT average FROM class ORDER BY decide,0
SELECT nearby FROM plural UNION ALL SELECT enter FROM audience ORDER BY outside,0
"  SELECT luck,taste FROM properly WHERE class='jump' UNION SELECT related, easier FROM goes",0
"   SELECT COUNT(rough), progress FROM thousand BY adjective",0
"   SELECT Employees.fun, COUNT(Orders.thoughID) AS silenceFROM   (OrdersINNER JOIN careful ON Orders.doID = Employees.exerciseID)",0
SELECT * FROM gather FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT make,0
SELECT * FROM quietly,0
SELECT missing FROM television,0
SELECT DISTINCT title FROM chicken,0
SELECT COUNT(DISTINCT popular) FROM before,0
SELECT Count(*) AS fish,0
FROM (SELECT DISTINCT acres FROM gray),0
SELECT * FROM exclaimed,0
SELECT * FROM film WHERE sad='score',0
SELECT * FROM asleep WHERE direction='author',0
SELECT * FROM proper  WHERE coat=more,0
SELECT * FROM broken WHERE money='fuel'  AND City='gradually',0
SELECT * FROM leaf WHERE must='ran'  OR knowledge='particular',0
SELECT * FROM shown WHERE western='pole'  OR chicken='tip',0
SELECT * FROM real WHERE    NOT along='industry',0
SELECT * FROM slight WHERE halfway='built'  AND (running='at' OR poetry='observe'),0
SELECT * FROM hat WHERE NOT type='dress'  AND NOT younger='label',0
SELECT * FROM crowd ORDER BY picture,0
SELECT * FROM be ORDER BY natural DESC,0
" SELECT * FROM include ORDER BY tea, seeing",0
" SELECT * FROM all ORDER BY suddenly ASC, tonight DESC",0
"INSERT INTO increase(poem, accurate, nine, system, jump, street) VALUES ('group', 'fifty'. doing', 'indicate', 'almost', 'wheat', 'choose') ",0
"INSERT INTO market (wife, dear, down) VALUES ('classroom', 'citizen', 'piano') ",0
"   SELECT studied, river, tired FROM flat WHERE small
  IS NULL
",0
"   SELECT however, its, powerfulFROM particularly WHERE ranch
  IS NOT NULL
",0
"  UPDATE distant SET leader= 'thou', City= 'wonderful'
 WHERE express= twice
",0
" UPDATE knowledge SET stood='exercise'
WHERE bush='position'
",0
SELECT * FROM wool,0
DELETE FROM lot WHERE cold='stay',0
DELETE FROM sense,0
SELECT level(s) FROM send,0
SELECT * FROM (SELECT neck FROM worse),0
SELECT TOP 3 * FROM pool,0
SELECT * FROM instrument 3,0
SELECT * FROM broken FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM putting,0
SELECT * FROM where FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM policeman WHERE orbit='behind',0
SELECT * FROM nearer WHERE closer='blank' LIMIT 3,0
SELECT * FROM gave WHERE flow='still' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(bear) AS balance FROM spin,0
SELECT MIN(street) AS clean FROM double,0
SELECT * FROM (SELECT bark FROM studying),0
SELECT TOP 3 * FROM fastened SELECT * FROM money 3SELECT * FROM unless,0
SELECT * FROM flies 3 SELECT * FROM belong,0
SELECT * FROM hidden FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM mass,0
SELECT TOP 50 PERCENT * FROM pole SELECT * FROM mail FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM any,0
SELECT * FROM world FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM neck,0
SELECT TOP 3 * FROM area WHERE softly='wonderful' SELECT * FROM activity,0
SELECT * FROM chair WHERE monkey='author' LIMIT 3,0
SELECT * FROM held WHERE earn='build' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(consist)FROM motion,0
SELECT * FROM eat WHERE studied NOT LIKE '[unusual]%',0
SELECT AVG(younger)FROM slow SELECT SUM(energy),0
SELECT AVG(balloon)FROM dangerous SELECT SUM(agree),0
SELECT AVG(few) FROM back  SELECT SUM(late),0
SELECT COUNT(ran)FROM pet,0
SELECT COUNT(from)FROM sure,0
SELECT AVG(weight)FROM zebra,0
SELECT * FROM related WHERE blood NOT LIKE 'brave%',0
SELECT * FROM care WHERE equally LIKE '%each%',0
SELECT * FROM another  WHERE wide NOT LIKE '[crop]%',0
"  SELECT * FROM smell WHERE instant IN ('writer', 'please', 'lying') ",0
"  SELECT * FROM vegetable WHERE angry NOT IN ('control', 'hour', 'trunk') ",0
SELECT * FROM you WHERE bear IN (SELECT concerned FROM manner),0
SELECT * FROM fly WHERE bow  BETWEEN 10 AND 20,0
SELECT * FROM member WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM western WHERE sharp BETWEEN 'like' AND 'radio',0
"SELECT * FROM dark WHERE swung BETWEEN ""signal"" AND    ""trunk""",0
SELECT * FROM circle WHERE table NOT BETWEEN 'pencil' AND 'pure',0
SELECT * FROM range WHERE shaking BETWEEN ten09/01/1996captured AND sell15/31/1996took,0
SELECT * FROM command WHERE feed BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(shut)FROM couple SELECT SUM(once),0
SELECT COUNT(hello) FROM rush,0
SELECT COUNT(lostID)FROM sitting,0
SELECT AVG(Price)FROM solar,0
SELECT * FROM bottle WHERE smallest BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT practiceID AS ID, wrapped AS chapter FROM express",0
"  SELECT worriedID AS ID, although AS those FROM specific",0
"  SELECT darkness AS goes, pie AS [mainly]  FROM race",0
"   SELECT attempt, obtain+ ', ' + even+ ' ' + alone+ ', ' + old AS face  FROM goes",0
SELECT carbon(s)FROM bank INNER JOIN,0
"   SELECT scared,horse,fear,recall,about   ((gold JOIN truth ON swing.job= busy.rocky)  INNER JOIN mindON Orders.softly= rather.powderID)",0
SELECT frog(s) FROM dry LEFT JOIN,0
"  SELECT rear,finest,dress FROM notice LEFT JOIN Orders ON pink.hundredID= bill.shop ORDER BY judge.team",0
SELECT nodded(s FROM organization RIGHT JOIN,0
"  SELECT Orders.baseballrID, Employees.basic, Employees.seat FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.greatestID ORDER BY Orders.examineID",0
SELECT half(s) FROM spoken FULL OUTER JOIN,0
" SELECT column_name(s) FROM shelf,replace",0
SELECT willing(s) FROM average UNION,0
SELECT bend(s) FROM sight SELECT bone(s),0
SELECT ball(s) FROM driver UNION ALL,0
SELECT corner(s) FROM gift SELECT wrote FROM ancient,0
SELECT party FROM hole UNION SELECT method FROM dog ORDER BY actually,0
SELECT image FROM sheep UNION ALL SELECT parts FROM full ORDER BY ranch,0
"  SELECT market,cross FROM share WHERE organized='at' UNION SELECT thirty, remain FROM above",0
"   SELECT COUNT(doubt), tobacco FROM claws BY flame",0
"   SELECT Employees.explanation, COUNT(Orders.foxID) AS oneFROM   (OrdersINNER JOIN garage ON Orders.aloneID = Employees.essentialID)",0
SELECT * FROM huge FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT range,0
SELECT * FROM mistake,0
SELECT that FROM explain,0
SELECT DISTINCT research FROM built,0
SELECT COUNT(DISTINCT six) FROM almost,0
SELECT Count(*) AS wild,0
FROM (SELECT DISTINCT bet FROM sunlight),0
SELECT * FROM left,0
SELECT * FROM younger WHERE oil='heard',0
SELECT * FROM summer WHERE power='eager',0
SELECT * FROM explore  WHERE rock=perhaps,0
SELECT * FROM saddle WHERE four='pretty'  AND City='answer',0
SELECT * FROM differ WHERE sheep='blew'  OR safety='last',0
SELECT * FROM straight WHERE taste='sick'  OR dangerous='afternoon',0
SELECT * FROM judge WHERE    NOT softly='silent',0
SELECT * FROM during WHERE forest='lion'  AND (attached='graph' OR southern='write'),0
SELECT * FROM rise WHERE NOT solar='dried'  AND NOT body='picture',0
SELECT * FROM add ORDER BY positive,0
SELECT * FROM pure ORDER BY doing DESC,0
" SELECT * FROM experience ORDER BY plenty, climb",0
" SELECT * FROM diagram ORDER BY forward ASC, pride DESC",0
"INSERT INTO television(stepped, wall, seen, series, heavy, aside) VALUES ('call', 'day'. finger', 'cross', 'spoken', 'mean', 'wrote') ",0
"INSERT INTO general (stretch, substance, animal) VALUES ('nature', 'war', 'salt') ",0
"   SELECT trouble, correct, star FROM molecular WHERE track
  IS NULL
",0
"   SELECT mass, effect, writingFROM dangerous WHERE solar
  IS NOT NULL
",0
"  UPDATE label SET edge= 'government', City= 'brown'
 WHERE alphabet= past
",0
" UPDATE swimming SET during='gift'
WHERE prevent='forward'
",0
SELECT * FROM condition,0
DELETE FROM took WHERE sharp='struck',0
DELETE FROM possible,0
SELECT almost(s) FROM she,0
SELECT * FROM (SELECT music FROM pitch),0
SELECT TOP 3 * FROM doll,0
SELECT * FROM hold 3,0
SELECT * FROM television FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM environment,0
SELECT * FROM forgotten FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM dead WHERE experiment='guide',0
SELECT * FROM weak WHERE lead='smaller' LIMIT 3,0
SELECT * FROM unless WHERE structure='broke' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(load) AS putting FROM breathing,0
SELECT MIN(experience) AS meant FROM having,0
SELECT * FROM (SELECT one FROM definition),0
SELECT TOP 3 * FROM pencil SELECT * FROM quickly 3SELECT * FROM hunter,0
SELECT * FROM when 3 SELECT * FROM successful,0
SELECT * FROM cast FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM hardly,0
SELECT TOP 50 PERCENT * FROM forest SELECT * FROM meat FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM fence,0
SELECT * FROM forth FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM suit,0
SELECT TOP 3 * FROM grabbed WHERE fish='outside' SELECT * FROM frequently,0
SELECT * FROM discover WHERE breathe='cent' LIMIT 3,0
SELECT * FROM was WHERE inside='real' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(enemy)FROM western,0
SELECT * FROM youth WHERE movement NOT LIKE '[rest]%',0
SELECT AVG(certainly)FROM animal SELECT SUM(modern),0
SELECT AVG(stronger)FROM practical SELECT SUM(upon),0
SELECT AVG(layers) FROM never  SELECT SUM(powder),0
SELECT COUNT(hit)FROM television,0
SELECT COUNT(planet)FROM sleep,0
SELECT AVG(goose)FROM mud,0
SELECT * FROM feet WHERE train NOT LIKE 'sound%',0
SELECT * FROM affect WHERE are LIKE '%improve%',0
SELECT * FROM equipment  WHERE coffee NOT LIKE '[in]%',0
"  SELECT * FROM find WHERE topic IN ('phrase', 'protection', 'post') ",0
"  SELECT * FROM write WHERE free NOT IN ('produce', 'married', 'strong') ",0
SELECT * FROM consider WHERE board IN (SELECT anyone FROM basis),0
SELECT * FROM extra WHERE headed  BETWEEN 10 AND 20,0
SELECT * FROM battle WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM whatever WHERE came BETWEEN 'rain' AND 'saved',0
"SELECT * FROM morning WHERE determine BETWEEN ""ruler"" AND    ""rich""",0
SELECT * FROM eventually WHERE control NOT BETWEEN 'driver' AND 'bright',0
SELECT * FROM country WHERE shaking BETWEEN nobody09/01/1996creature AND life15/31/1996led,0
SELECT * FROM substance WHERE move BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(bar)FROM twice SELECT SUM(operation),0
SELECT COUNT(fireplace) FROM given,0
SELECT COUNT(whistleID)FROM walk,0
SELECT AVG(Price)FROM skill,0
SELECT * FROM farmer WHERE tax BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT amongID AS ID, slabs AS height FROM written",0
"  SELECT willID AS ID, basis AS frozen FROM flat",0
"  SELECT closely AS include, repeat AS [teeth]  FROM trip",0
"   SELECT page, population+ ', ' + driven+ ' ' + land+ ', ' + compound AS duty  FROM college",0
SELECT popular(s)FROM problem INNER JOIN,0
"   SELECT machine,pack,spider,grass,stuck   ((want JOIN only ON are.art= function.vote)  INNER JOIN rollON Orders.yourself= faster.volumeID)",0
SELECT most(s) FROM next LEFT JOIN,0
"  SELECT additional,diameter,apple FROM baseball LEFT JOIN Orders ON tall.selectionID= electricity.harder ORDER BY fair.potatoes",0
SELECT interest(s FROM twenty RIGHT JOIN,0
"  SELECT Orders.discoverrID, Employees.foreign, Employees.putting FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.needleID ORDER BY Orders.amID",0
SELECT courage(s) FROM someone FULL OUTER JOIN,0
" SELECT column_name(s) FROM exchange,interior",0
SELECT cool(s) FROM bear UNION,0
SELECT shadow(s) FROM promised SELECT receive(s),0
SELECT attention(s) FROM shelter UNION ALL,0
SELECT consider(s) FROM support SELECT bow FROM cave,0
SELECT lucky FROM rising UNION SELECT wish FROM my ORDER BY scientist,0
SELECT mud FROM snake UNION ALL SELECT scale FROM excellent ORDER BY discovery,0
"  SELECT leave,road FROM understanding WHERE smaller='pony' UNION SELECT combination, ear FROM model",0
"   SELECT COUNT(women), bring FROM somehow BY organization",0
"   SELECT Employees.surface, COUNT(Orders.coffeeID) AS storyFROM   (OrdersINNER JOIN verb ON Orders.readID = Employees.regionID)",0
SELECT * FROM blood FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT bow,0
SELECT * FROM must,0
SELECT gas FROM missing,0
SELECT DISTINCT acres FROM leader,0
SELECT COUNT(DISTINCT travel) FROM adjective,0
SELECT Count(*) AS fort,0
FROM (SELECT DISTINCT hurt FROM can),0
SELECT * FROM roof,0
SELECT * FROM frog WHERE understanding='fort',0
SELECT * FROM establish WHERE wear='choice',0
SELECT * FROM whispered  WHERE compound=is,0
SELECT * FROM sense WHERE expect='off'  AND City='swung',0
SELECT * FROM shade WHERE skill='ground'  OR three='became',0
SELECT * FROM forgot WHERE few='desert'  OR middle='carried',0
SELECT * FROM carry WHERE    NOT active='ice',0
SELECT * FROM wonder WHERE information='baseball'  AND (slip='loud' OR earlier='hardly'),0
SELECT * FROM root WHERE NOT taught='frog'  AND NOT public='duty',0
SELECT * FROM floating ORDER BY nervous,0
SELECT * FROM furniture ORDER BY scene DESC,0
" SELECT * FROM private ORDER BY snow, driven",0
" SELECT * FROM loud ORDER BY barn ASC, changing DESC",0
"INSERT INTO few(nice, meet, limited, bow, beneath, scale) VALUES ('birthday', 'mice'. fun', 'dig', 'construction', 'best', 'nearer') ",0
"INSERT INTO lay (measure, lamp, front) VALUES ('tales', 'eager', 'line') ",0
"   SELECT port, theory, lion FROM accept WHERE country
  IS NULL
",0
"   SELECT headed, physical, cryFROM tail WHERE court
  IS NOT NULL
",0
"  UPDATE slave SET happen= 'area', City= 'location'
 WHERE fighting= queen
",0
" UPDATE according SET easy='thee'
WHERE powder='occasionally'
",0
SELECT * FROM turn,0
DELETE FROM iron WHERE planning='rising',0
DELETE FROM machinery,0
SELECT come(s) FROM escape,0
SELECT * FROM (SELECT enter FROM electric),0
SELECT TOP 3 * FROM pool,0
SELECT * FROM soft 3,0
SELECT * FROM drive FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM jet,0
SELECT * FROM year FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM pretty WHERE drawn='bread',0
SELECT * FROM form WHERE little='compare' LIMIT 3,0
SELECT * FROM any WHERE education='furniture' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(mathematics) AS sick FROM football,0
SELECT MIN(push) AS remember FROM whose,0
SELECT * FROM (SELECT terrible FROM exact),0
SELECT TOP 3 * FROM area SELECT * FROM tower 3SELECT * FROM border,0
SELECT * FROM about 3 SELECT * FROM round,0
SELECT * FROM her FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM month,0
SELECT TOP 50 PERCENT * FROM definition SELECT * FROM mind FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM off,0
SELECT * FROM clean FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM from,0
SELECT TOP 3 * FROM final WHERE doctor='ability' SELECT * FROM golden,0
SELECT * FROM than WHERE various='plastic' LIMIT 3,0
SELECT * FROM dark WHERE shine='cut' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(high)FROM shelter,0
SELECT * FROM circus WHERE beautiful NOT LIKE '[knowledge]%',0
SELECT AVG(promised)FROM jack SELECT SUM(sight),0
SELECT AVG(fifteen)FROM got SELECT SUM(above),0
SELECT AVG(positive) FROM escape  SELECT SUM(correctly),0
SELECT COUNT(evening)FROM with,0
SELECT COUNT(giving)FROM something,0
SELECT AVG(troops)FROM factory,0
SELECT * FROM listen WHERE aid NOT LIKE 'round%',0
SELECT * FROM heavy WHERE customs LIKE '%appearance%',0
SELECT * FROM hung  WHERE funny NOT LIKE '[result]%',0
"  SELECT * FROM no WHERE badly IN ('reach', 'catch', 'has') ",0
"  SELECT * FROM news WHERE box NOT IN ('scared', 'before', 'possibly') ",0
SELECT * FROM youth WHERE teach IN (SELECT floor FROM offer),0
SELECT * FROM apart WHERE garage  BETWEEN 10 AND 20,0
SELECT * FROM time WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM action WHERE canal BETWEEN 'pound' AND 'boy',0
"SELECT * FROM particles WHERE got BETWEEN ""seat"" AND    ""comfortable""",0
SELECT * FROM excellent WHERE deep NOT BETWEEN 'mind' AND 'pour',0
SELECT * FROM up WHERE sport BETWEEN twice09/01/1996stuck AND nobody15/31/1996tiny,0
SELECT * FROM opportunity WHERE improve BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(during)FROM garden SELECT SUM(quickly),0
SELECT COUNT(southern) FROM show,0
SELECT COUNT(rightID)FROM daily,0
SELECT AVG(Price)FROM plenty,0
SELECT * FROM buffalo WHERE settle BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT themID AS ID, summer AS fat FROM alone",0
"  SELECT capID AS ID, brass AS border FROM warn",0
"  SELECT becoming AS roll, potatoes AS [danger]  FROM stand",0
"   SELECT year, sun+ ', ' + earth+ ' ' + thread+ ', ' + vegetable AS whale  FROM weigh",0
SELECT ordinary(s)FROM happy INNER JOIN,0
"   SELECT becoming,indeed,prize,die,ride   ((son JOIN broke ON method.into= spend.become)  INNER JOIN headingON Orders.blanket= familiar.countID)",0
SELECT present(s) FROM tropical LEFT JOIN,0
"  SELECT smallest,enter,land FROM well LEFT JOIN Orders ON planet.rocketID= body.have ORDER BY unless.blanket",0
SELECT meant(s FROM car RIGHT JOIN,0
"  SELECT Orders.oppositerID, Employees.over, Employees.value FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.waterID ORDER BY Orders.soonID",0
SELECT force(s) FROM slow FULL OUTER JOIN,0
" SELECT column_name(s) FROM football,ought",0
SELECT rope(s) FROM silver UNION,0
SELECT birds(s) FROM roof SELECT laugh(s),0
SELECT addition(s) FROM essential UNION ALL,0
SELECT forgot(s) FROM three SELECT atom FROM rain,0
SELECT track FROM report UNION SELECT behind FROM arrow ORDER BY caught,0
SELECT tropical FROM equal UNION ALL SELECT kept FROM zipper ORDER BY name,0
"  SELECT corner,got FROM party WHERE failed='advice' UNION SELECT eventually, record FROM shout",0
"   SELECT COUNT(pencil), thy FROM character BY progress",0
"   SELECT Employees.milk, COUNT(Orders.threadID) AS cookiesFROM   (OrdersINNER JOIN construction ON Orders.awareID = Employees.exactID)",0
SELECT * FROM away FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT bark,0
SELECT * FROM distance,0
SELECT purple FROM brass,0
SELECT DISTINCT alone FROM cover,0
SELECT COUNT(DISTINCT all) FROM in,0
SELECT Count(*) AS use,0
FROM (SELECT DISTINCT exchange FROM tool),0
SELECT * FROM news,0
SELECT * FROM nearer WHERE made='chest',0
SELECT * FROM hide WHERE may='table',0
SELECT * FROM except  WHERE frozen=does,0
SELECT * FROM bowl WHERE slight='rabbit'  AND City='shoot',0
SELECT * FROM refer WHERE stage='quarter'  OR minute='run',0
SELECT * FROM different WHERE plate='change'  OR send='open',0
SELECT * FROM without WHERE    NOT perfectly='slide',0
SELECT * FROM compound WHERE money='family'  AND (five='become' OR chief='generally'),0
SELECT * FROM article WHERE NOT bone='salt'  AND NOT push='question',0
SELECT * FROM flew ORDER BY afraid,0
SELECT * FROM poem ORDER BY began DESC,0
" SELECT * FROM shown ORDER BY layers, instrument",0
" SELECT * FROM table ORDER BY dug ASC, hour DESC",0
"INSERT INTO ready(known, famous, motor, another, gun, sunlight) VALUES ('chamber', 'crowd'. mountain', 'previous', 'alive', 'swim', 'color') ",0
"INSERT INTO special (pick, advice, steep) VALUES ('event', 'clay', 'region') ",0
"   SELECT poor, center, paper FROM someone WHERE hearing
  IS NULL
",0
"   SELECT single, dangerous, atomFROM organized WHERE outline
  IS NOT NULL
",0
"  UPDATE serious SET real= 'horn', City= 'to'
 WHERE page= military
",0
" UPDATE stronger SET lake='safety'
WHERE nodded='by'
",0
SELECT * FROM determine,0
DELETE FROM former WHERE basis='road',0
DELETE FROM torn,0
SELECT notice(s) FROM about,0
SELECT * FROM (SELECT development FROM population),0
SELECT TOP 3 * FROM capital,0
SELECT * FROM bus 3,0
SELECT * FROM silly FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM horse,0
SELECT * FROM recent FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM entire WHERE purpose='broken',0
SELECT * FROM congress WHERE throw='but' LIMIT 3,0
SELECT * FROM full WHERE yard='experience' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(together) AS wish FROM weather,0
SELECT MIN(equator) AS wherever FROM progress,0
SELECT * FROM (SELECT speak FROM post),0
SELECT TOP 3 * FROM shine SELECT * FROM red 3SELECT * FROM hole,0
SELECT * FROM avoid 3 SELECT * FROM eye,0
SELECT * FROM her FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM pen,0
SELECT TOP 50 PERCENT * FROM crop SELECT * FROM habit FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM dog,0
SELECT * FROM garden FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM engineer,0
SELECT TOP 3 * FROM done WHERE breathing='actual' SELECT * FROM almost,0
SELECT * FROM hungry WHERE time='certainly' LIMIT 3,0
